sessionID,unit,hemisphere,rf,choice,coherence,coherenceMean,ddm,ddmRank,ddmRankMean,tChoice,choiceSelectionTime,leftIsIn,coeffIn_1,coeffIn_2,coeffOut_1,coeffOut_2
jp098n02,spikeUnit06,left,right,1,0,0,0,1,0,190,265,0,-95.0476790280222,69.0425644801118,30.4221151294797,-6.95604522968541
jp098n02,spikeUnit07,left,right,1,1,1,1,1,1,180,223,0,1.92198779813962,32.5034648535698,172.032356255391,-50.7140707334492
jp098n02,spikeUnit08,left,none,1,1,1,1,1,1,400,233,0,194.281348534456,-72.1455674336817,359.902657024847,-112.582942176245
jp098n02,spikeUnit09,left,left,1,0,1,0,1,1,210,245,1,-84.8519486212793,94.3450928649956,-53.2258552053917,68.5178675074792
jp098n02,spikeUnit10,left,left,1,0,0,0,0,0,180,228,1,-112.969358849668,72.3858509894986,33.2764676070679,-5.36987275527943
jp098n02,spikeUnit11,left,left,1,0,1,0,1,1,170,246,1,-54.9257371616421,51.0073628638375,-15.1288836294624,22.1485839220417
jp098n02,spikeUnit12,left,left,1,0,1,0,1,1,150,160,1,-48.0266291983074,58.5305863330183,-56.3124756225098,57.3248023484667
jp098n02,spikeUnit13,left,left,1,0,1,0,1,1,200,257,1,-117.105659834207,82.1349765520595,-51.0504825027727,46.8347581959202
jp098n02,spikeUnit14,left,left,0,0,0,0,0,0,150,248,1,-11.1303861627599,27.3553342417867,9.44626771028842,10.1386219902367
jp098n02,spikeUnit15,left,left,1,0,1,0,1,1,150,197,1,-10.5161857223554,19.1621518835929,-26.6299128316382,24.1233962614325
jp098n02,spikeUnit16,left,left,1,0,0,0,1,0,150,NaN,1,21.8809824662475,14.0046340464036,15.8046139731353,9.27126797595909
jp098n02,spikeUnit17,left,right,1,0,0,0,0,0,320,393,0,83.8966254409419,1.25600783829223,-9.71317953152274,48.4886253550632
jp098n02,spikeUnit18,left,right,1,1,1,1,1,1,220,231,0,173.625101716769,-61.5927622352826,119.521127601303,-22.715417327968
jp098n02,spikeUnit19,left,right,1,0,1,0,1,1,210,235,0,65.8293152983574,17.1041157945088,5.65947101038295,33.8396883982846
jp098n02,spikeUnit20,left,right,0,1,0,0,0,0,230,137,1,220.198885259019,-67.3198368650682,278.238939633269,-132.207228245185
jp098n02,spikeUnit21,left,right,1,1,1,1,1,1,280,285,0,27.3558355967512,11.6947559033344,316.416732214911,-106.512323928923
jp098n02,spikeUnit22,left,right,1,0,1,0,1,1,150,178,0,33.6098408482789,27.0934696448359,33.6300084357216,15.0764264267304
jp098n02,spikeUnit23,left,right,1,0,1,0,1,1,160,173,0,126.455903562733,-6.69835522979182,11.1942608905177,50.8516977138577
jp098n02,spikeUnit24,left,right,0,0,0,0,0,0,480,790,1,81.0342228252648,-11.5181667420462,104.265467991807,-31.4858344674006
jp098n02,spikeUnit25,left,none,1,1,0,1,1,0,150,27,1,174.993248192464,-49.2704587075244,136.603631775245,-58.1502447780723
jp098n02,spikeUnit26,left,none,0,0,0,0,0,0,150,NaN,1,-79.6178177317791,70.7407342911687,49.9539642920916,1.84068382397125
jp098n02,spikeUnit27,left,left,0,0,1,0,0,0,220,241,1,-26.6386402917152,33.2932329047353,-62.9792354559009,53.7778914319145
jp098n02,spikeUnit28,left,none,1,0,0,0,1,0,150,203,1,60.9594676034302,-7.5230158790538,51.263298622756,-22.8012676145111
jp098n02,spikeUnit29,left,none,1,0,1,0,1,1,150,112,1,-69.6702731833051,65.747975101137,-44.7937120253323,49.4614161610506
jp098n02,spikeUnit30,left,right,1,1,0,1,1,0,290,246,1,86.4872945330794,-23.9636072197327,94.8745809182956,-42.3166254619462
jp098n02,spikeUnit31,left,right,1,1,1,1,1,1,170,153,0,151.00155197331,-51.6853341756017,89.3232282343397,-7.66366586223595
jp098n02,spikeUnit32,left,right,1,0,1,0,1,1,230,436,1,-60.8487921920772,50.9887674066786,-69.6996028644136,69.8459321709884
jp104n02,spikeUnit01,left,right,0,0,0,0,0,0,160,351,0,-81.3515178020926,125.0116939426,-326.900782674289,215.720257825385
jp104n02,spikeUnit02,left,right,1,0,0,0,1,0,150,255,0,-119.845786996937,122.774427729463,-103.449773671557,83.4076124771856
jp104n02,spikeUnit03,left,none,1,1,0,1,0,0,190,631,1,24.1533739244198,-6.66733759372002,-152.337858220212,96.5309200603322
jp104n02,spikeUnit04,left,left,0,0,1,0,0,0,240,257,1,-185.425945556288,124.174717835286,-89.6561292835305,88.8168379405565
jp104n02,spikeUnit05,left,none,0,0,0,0,0,0,270,415,1,23.136167531193,19.0131357131062,-95.8465599014277,73.9443988566026
jp104n02,spikeUnit06,left,left,0,0,0,0,0,0,220,264,1,-227.892763411111,120.344534722905,44.3130518012719,-11.116627391532
jp104n02,spikeUnit07,left,right,1,0,1,0,1,1,150,165,1,-115.057815623346,87.997861584073,-45.2791797270128,59.654810674562
jp104n02,spikeUnit08,left,right,0,0,0,0,0,0,220,284,0,-58.7449077495359,60.7934631117701,57.1400150071759,7.9475056095722
jp104n02,spikeUnit09,left,right,0,0,0,0,0,0,710,NaN,0,-30.324497352825,39.0717933273577,0.273533527986217,22.260887281574
jp104n02,spikeUnit10,left,right,0,0,1,0,0,0,280,305,0,52.7659374652891,66.7736692951781,148.651441940677,28.9364028597068
