sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp242n02,spikeUnit31,right,232,77,0.58,1,NaN
bp242n02,spikeUnit31,right,378,77,0.53,2,0
bp242n02,spikeUnit31,right,90,77,0.58,1,NaN
bp242n02,spikeUnit31,right,232,77,0.53,2,NaN
bp242n02,spikeUnit31,right,378,77,0.58,1,NaN
bp242n02,spikeUnit32,right,232,77,0.58,1,NaN
bp242n02,spikeUnit32,right,378,77,0.53,2,-56
bp242n02,spikeUnit32,right,90,77,0.58,1,4
bp242n02,spikeUnit32,right,232,77,0.53,2,NaN
bp242n02,spikeUnit32,right,378,77,0.58,1,NaN
bp243n02,spikeUnit13,right,233,93,0.58,1,-22
bp243n02,spikeUnit13,right,523,93,0.53,2,-50
bp243n02,spikeUnit13,right,379,93,0.53,2,-10
bp243n02,spikeUnit13,right,379,93,0.58,1,NaN
bp243n02,spikeUnit13,right,89,93,0.58,1,NaN
bp243n02,spikeUnit13,right,233,93,0.53,2,NaN
bp243n02,spikeUnit14,right,233,93,0.58,1,-19
bp243n02,spikeUnit14,right,523,93,0.53,2,-34
bp243n02,spikeUnit14,right,379,93,0.53,2,85
bp243n02,spikeUnit14,right,379,93,0.58,1,16
bp243n02,spikeUnit14,right,89,93,0.58,1,23
bp243n02,spikeUnit14,right,233,93,0.53,2,NaN
bp243n02,spikeUnit15,right,233,93,0.58,1,-84
bp243n02,spikeUnit15,right,523,93,0.53,2,-58
bp243n02,spikeUnit15,right,379,93,0.53,2,23
bp243n02,spikeUnit15,right,379,93,0.58,1,-50
bp243n02,spikeUnit15,right,89,93,0.58,1,NaN
bp243n02,spikeUnit15,right,233,93,0.53,2,6
bp243n02,spikeUnit16,right,233,93,0.58,1,-75
bp243n02,spikeUnit16,right,523,93,0.53,2,NaN
bp243n02,spikeUnit16,right,379,93,0.53,2,-55
bp243n02,spikeUnit16,right,379,93,0.58,1,NaN
bp243n02,spikeUnit16,right,89,93,0.58,1,NaN
bp243n02,spikeUnit16,right,233,93,0.53,2,-82
bp243n02,spikeUnit25,right,233,93,0.58,1,NaN
bp243n02,spikeUnit25,right,523,93,0.53,2,-42
bp243n02,spikeUnit25,right,379,93,0.53,2,NaN
bp243n02,spikeUnit25,right,379,93,0.58,1,-86
bp243n02,spikeUnit25,right,89,93,0.58,1,NaN
bp243n02,spikeUnit25,right,233,93,0.53,2,18
bp244n02,spikeUnit25,right,233,61,0.58,1,-16
bp244n02,spikeUnit25,right,378,61,0.53,2,NaN
bp244n02,spikeUnit25,right,233,61,0.53,2,NaN
bp244n02,spikeUnit25,right,87,61,0.58,1,NaN
bp244n02,spikeUnit25,right,378,61,0.58,1,NaN
bp244n02,spikeUnit26,right,233,61,0.58,1,-3
bp244n02,spikeUnit26,right,378,61,0.53,2,-7
bp244n02,spikeUnit26,right,233,61,0.53,2,-49
bp244n02,spikeUnit26,right,87,61,0.58,1,NaN
bp244n02,spikeUnit26,right,378,61,0.58,1,14
bp244n02,spikeUnit27,right,233,61,0.58,1,-1
bp244n02,spikeUnit27,right,378,61,0.53,2,4
bp244n02,spikeUnit27,right,233,61,0.53,2,-27
bp244n02,spikeUnit27,right,87,61,0.58,1,113
bp244n02,spikeUnit27,right,378,61,0.58,1,NaN
bp244n02,spikeUnit28,right,233,61,0.58,1,NaN
bp244n02,spikeUnit28,right,378,61,0.53,2,NaN
bp244n02,spikeUnit28,right,233,61,0.53,2,NaN
bp244n02,spikeUnit28,right,87,61,0.58,1,NaN
bp244n02,spikeUnit28,right,378,61,0.58,1,NaN
bp245n02,spikeUnit28,right,232,69,0.58,1,NaN
bp245n02,spikeUnit28,right,378,69,0.53,2,NaN
bp245n02,spikeUnit28,right,232,69,0.53,2,NaN
bp245n02,spikeUnit28,right,87,69,0.58,1,NaN
bp245n02,spikeUnit28,right,523,69,0.53,2,NaN
bp246n02,spikeUnit29,right,231,54,0.58,1,-27
bp246n02,spikeUnit29,right,378,54,0.53,2,-27
bp246n02,spikeUnit29,right,523,54,0.53,2,-52
bp246n02,spikeUnit29,right,378,54,0.58,1,-48
bp246n02,spikeUnit30,right,231,54,0.58,1,NaN
bp246n02,spikeUnit30,right,378,54,0.53,2,-30
bp246n02,spikeUnit30,right,523,54,0.53,2,NaN
bp246n02,spikeUnit30,right,378,54,0.58,1,NaN
bp247n02,spikeUnit12,right,232,55,0.58,1,12
bp247n02,spikeUnit12,right,378,55,0.53,2,-12
bp247n02,spikeUnit12,right,232,55,0.53,2,-7
bp247n02,spikeUnit12,right,87,55,0.58,1,74
bp247n02,spikeUnit12,right,378,55,0.58,1,NaN
bp247n02,spikeUnit12,right,522,55,0.53,2,13
bp247n02,spikeUnit16,left,378,55,0.42,1,-15
bp247n02,spikeUnit16,left,378,55,0.47,2,75
bp247n02,spikeUnit16,left,522,55,0.47,2,-37
bp247n02,spikeUnit16,left,522,55,0.42,1,17
bp247n02,spikeUnit29,right,232,55,0.58,1,NaN
bp247n02,spikeUnit29,right,378,55,0.53,2,NaN
bp247n02,spikeUnit29,right,232,55,0.53,2,-20
bp247n02,spikeUnit29,right,87,55,0.58,1,NaN
bp247n02,spikeUnit29,right,378,55,0.58,1,NaN
bp247n02,spikeUnit29,right,522,55,0.53,2,NaN
bp247n02,spikeUnit30,right,232,55,0.58,1,0
bp247n02,spikeUnit30,right,378,55,0.53,2,NaN
bp247n02,spikeUnit30,right,232,55,0.53,2,NaN
bp247n02,spikeUnit30,right,87,55,0.58,1,NaN
bp247n02,spikeUnit30,right,378,55,0.58,1,NaN
bp247n02,spikeUnit30,right,522,55,0.53,2,-2
bp247n02,spikeUnit31,right,232,55,0.58,1,3
bp247n02,spikeUnit31,right,378,55,0.53,2,-47
bp247n02,spikeUnit31,right,232,55,0.53,2,NaN
bp247n02,spikeUnit31,right,87,55,0.58,1,NaN
bp247n02,spikeUnit31,right,378,55,0.58,1,NaN
bp247n02,spikeUnit31,right,522,55,0.53,2,-49
