session,unit,category,hemisphere,rf,ssd,ssrt,coherence,easyHard,nStop,pValue40msStopStop,cancelTime2Std,cancelTimeSdf,targToStopDiffSD,preSaccDiffSD
bp230n02-mm,spikeUnit11,ddm_cancel,left,right,232,98,0.58,1,11,0.286588140227521,15,33,-2.37655204679772,-8.05488866703446
bp230n02-mm,spikeUnit11,ddm_cancel,left,right,232,98,0.53,2,13,0.449570590100284,109,NaN,-1.05400049432869,-7.33332823626363
bp230n02-mm,spikeUnit11,ddm_cancel,left,right,378,98,0.53,2,21,0.0141563654415915,-45,53,-1.07436430445127,-0.861310997443207
bp230n02-mm,spikeUnit11,ddm_cancel,left,right,88,98,0.58,1,29,0.453876699670244,-86,NaN,-3.42199105667609,-11.2971641019172
bp230n02-mm,spikeUnit11,ddm_cancel,left,right,378,98,0.58,1,34,0.27059110798255,-70,NaN,-2.46940750285113,-2.06526023398006
bp234n02,spikeUnit22,ddm_cancel,left,right,232,118,0.53,2,15,0.00699207598380466,-27,-70,0.790525238600194,-2.77982732464838
bp234n02,spikeUnit22,ddm_cancel,left,right,87,118,0.58,1,16,0.0988339467504219,NaN,NaN,1.97240754759872,-3.78657158945504
bp234n02,spikeUnit22,ddm_cancel,left,right,232,118,0.58,1,41,0.0231110140549657,-22,-55,0.102621259368927,-5.39479771212925
bp234n02,spikeUnit22,ddm_cancel,left,right,87,118,0.53,2,45,0.516116652788769,NaN,NaN,1.26600217707588,-3.60924766164282
bp235n02,spikeUnit05,ddm_cancel,left,right,88,83,0.58,1,17,0.566219285924845,76,NaN,2.0386376011674,-15.635930552194
bp235n02,spikeUnit05,ddm_cancel,left,right,232,83,0.53,2,18,0.39481051072921,21,-8,0.694788702366711,-16.102741943322
bp235n02,spikeUnit05,ddm_cancel,left,right,378,83,0.53,2,35,0.0857810923202958,54,NaN,1.11290550282205,-6.18719216659704
bp235n02,spikeUnit05,ddm_cancel,left,right,232,83,0.58,1,37,0.54331682821486,NaN,-73,0.31113794740636,-17.4366092591515
bp242n02,spikeUnit32,ddm_cancel,left,right,232,77,0.58,1,10,0.132567489919417,64,NaN,0.457876613010862,-16.752553890728
bp242n02,spikeUnit32,ddm_cancel,left,right,378,77,0.53,2,15,0.607673365013806,16,-56,-0.208638411101692,-11.9490204629818
bp242n02,spikeUnit32,ddm_cancel,left,right,90,77,0.58,1,24,0.815821375790614,127,4,0.985204891843247,-14.4790181768923
bp242n02,spikeUnit32,ddm_cancel,left,right,232,77,0.53,2,24,0.627770687941214,NaN,NaN,0.0912596841810086,-16.1767507095605
bp242n02,spikeUnit32,ddm_cancel,left,right,378,77,0.58,1,27,0.383075883991465,NaN,NaN,0.666936518299777,-12.1238688671091
bp243n02,spikeUnit14,ddm_cancel,left,right,233,93,0.58,1,11,0.00224980490426393,3,-19,0.311916785322112,-3.18008107554872
bp243n02,spikeUnit14,ddm_cancel,left,right,523,93,0.53,2,12,0.0049360189393266,0,-34,0.805674244335462,-3.68272577575231
bp243n02,spikeUnit14,ddm_cancel,left,right,379,93,0.53,2,19,0.001295550976117,-31,85,0.451145166303056,-1.32768516913421
bp243n02,spikeUnit14,ddm_cancel,left,right,379,93,0.58,1,26,0.106626964518935,-24,16,-0.204975146177239,-1.28676294105971
bp243n02,spikeUnit14,ddm_cancel,left,right,89,93,0.58,1,27,0.563068303131586,30,23,0.192938568971192,-2.8077772265837
bp243n02,spikeUnit14,ddm_cancel,left,right,233,93,0.53,2,33,0.587761247883439,21,NaN,0.493211595072291,-3.62875923393169
bp243n02,spikeUnit15,ddm_cancel,left,right,233,93,0.58,1,11,0.347329324864831,23,-84,-0.495404862794835,-5.05592904073866
bp243n02,spikeUnit15,ddm_cancel,left,right,523,93,0.53,2,12,0.348400955980072,7,-58,-0.468684357283847,-13.7491992461495
bp243n02,spikeUnit15,ddm_cancel,left,right,379,93,0.53,2,19,0.234593880033548,-40,23,-1.2180038385029,-7.84801312777509
bp243n02,spikeUnit15,ddm_cancel,left,right,379,93,0.58,1,26,0.130888679325177,-11,-50,-0.284175416623183,-4.03667155290249
bp243n02,spikeUnit15,ddm_cancel,left,right,89,93,0.58,1,27,0.435037511856595,NaN,NaN,-1.03983605819695,-7.06442776663287
bp243n02,spikeUnit15,ddm_cancel,left,right,233,93,0.53,2,33,0.3010513168045,19,6,-1.71637444907888,-5.84974847637019
