sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp229n02-mm,spikeUnit05,right,233,53,0.58,1,NaN
bp229n02-mm,spikeUnit05,right,377,53,0.53,2,NaN
bp229n02-mm,spikeUnit05,right,233,53,0.53,2,NaN
bp229n02-mm,spikeUnit06,right,89,53,0.58,1,NaN
bp229n02-mm,spikeUnit06,right,233,53,0.58,1,NaN
bp229n02-mm,spikeUnit06,right,377,53,0.53,2,NaN
bp229n02-mm,spikeUnit06,right,233,53,0.53,2,NaN
bp229n02-mm,spikeUnit12,right,89,53,0.58,1,NaN
bp229n02-mm,spikeUnit12,right,233,53,0.58,1,NaN
bp229n02-mm,spikeUnit12,right,377,53,0.53,2,NaN
bp229n02-mm,spikeUnit12,right,233,53,0.53,2,NaN
bp229n02-mm,spikeUnit14,right,89,53,0.58,1,NaN
bp229n02-mm,spikeUnit14,right,233,53,0.58,1,NaN
bp229n02-mm,spikeUnit14,right,377,53,0.53,2,NaN
bp229n02-mm,spikeUnit14,right,233,53,0.53,2,NaN
bp229n02-mm,spikeUnit18,right,89,53,0.58,1,191
bp229n02-mm,spikeUnit18,right,233,53,0.58,1,101
bp229n02-mm,spikeUnit18,right,377,53,0.53,2,235
bp229n02-mm,spikeUnit18,right,233,53,0.53,2,181
bp230n02-mm,spikeUnit11,right,232,79,0.58,1,23
bp230n02-mm,spikeUnit11,right,232,79,0.53,2,128
bp230n02-mm,spikeUnit11,right,378,79,0.53,2,-79
bp230n02-mm,spikeUnit11,right,88,79,0.58,1,-67
bp230n02-mm,spikeUnit11,right,378,79,0.58,1,-52
bp230n02-mm,spikeUnit12,right,232,79,0.58,1,NaN
bp230n02-mm,spikeUnit12,right,232,79,0.53,2,NaN
bp230n02-mm,spikeUnit12,right,378,79,0.53,2,NaN
bp230n02-mm,spikeUnit12,right,88,79,0.58,1,NaN
bp230n02-mm,spikeUnit12,right,378,79,0.58,1,NaN
bp230n02-mm,spikeUnit25,right,232,79,0.58,1,-23
bp230n02-mm,spikeUnit25,right,232,79,0.53,2,NaN
bp230n02-mm,spikeUnit25,right,378,79,0.53,2,NaN
bp230n02-mm,spikeUnit25,right,88,79,0.58,1,16
bp230n02-mm,spikeUnit25,right,378,79,0.58,1,NaN
bp232n02-mm,spikeUnit03,right,235,76,0.53,2,NaN
bp232n02-mm,spikeUnit03,right,92,76,0.58,1,NaN
bp232n02-mm,spikeUnit03,right,235,76,0.58,1,NaN
bp232n02-mm,spikeUnit03,right,380,76,0.53,2,9
bp232n02-mm,spikeUnit03,right,92,76,0.53,2,NaN
bp232n02-mm,spikeUnit04,right,235,76,0.53,2,NaN
bp232n02-mm,spikeUnit04,right,92,76,0.58,1,NaN
bp232n02-mm,spikeUnit04,right,235,76,0.58,1,NaN
bp232n02-mm,spikeUnit04,right,380,76,0.53,2,258
bp232n02-mm,spikeUnit04,right,92,76,0.53,2,NaN
bp232n02-mm,spikeUnit09,right,235,76,0.53,2,52
bp232n02-mm,spikeUnit09,right,92,76,0.58,1,65
bp232n02-mm,spikeUnit09,right,235,76,0.58,1,50
bp232n02-mm,spikeUnit09,right,380,76,0.53,2,38
bp232n02-mm,spikeUnit09,right,92,76,0.53,2,31
bp234n02,spikeUnit03,right,232,101,0.53,2,-101
bp234n02,spikeUnit03,right,87,101,0.58,1,NaN
bp234n02,spikeUnit03,right,232,101,0.58,1,10
bp234n02,spikeUnit03,right,87,101,0.53,2,NaN
bp234n02,spikeUnit10,right,232,101,0.53,2,61
bp234n02,spikeUnit10,right,87,101,0.58,1,91
bp234n02,spikeUnit10,right,232,101,0.58,1,NaN
bp234n02,spikeUnit10,right,87,101,0.53,2,NaN
bp234n02,spikeUnit11,left,377,101,0.42,1,NaN
bp234n02,spikeUnit11,left,377,101,0.47,2,NaN
bp234n02,spikeUnit11,left,232,101,0.47,2,310
bp234n02,spikeUnit11,left,523,101,0.42,1,NaN
bp234n02,spikeUnit11,left,523,101,0.47,2,NaN
bp234n02,spikeUnit20,left,377,101,0.42,1,128
bp234n02,spikeUnit20,left,377,101,0.47,2,55
bp234n02,spikeUnit20,left,232,101,0.47,2,-22
bp234n02,spikeUnit20,left,523,101,0.42,1,23
bp234n02,spikeUnit20,left,523,101,0.47,2,7
bp234n02,spikeUnit22,right,232,101,0.53,2,-11
bp234n02,spikeUnit22,right,87,101,0.58,1,NaN
bp234n02,spikeUnit22,right,232,101,0.58,1,-4
bp234n02,spikeUnit22,right,87,101,0.53,2,NaN
bp234n02,spikeUnit27,right,232,101,0.53,2,23
bp234n02,spikeUnit27,right,87,101,0.58,1,47
bp234n02,spikeUnit27,right,232,101,0.58,1,39
bp234n02,spikeUnit27,right,87,101,0.53,2,NaN
bp235n02,spikeUnit04,right,88,76,0.58,1,110
bp235n02,spikeUnit04,right,232,76,0.53,2,NaN
bp235n02,spikeUnit04,right,378,76,0.53,2,NaN
bp235n02,spikeUnit04,right,232,76,0.58,1,NaN
bp235n02,spikeUnit05,right,88,76,0.58,1,83
bp235n02,spikeUnit05,right,232,76,0.53,2,27
bp235n02,spikeUnit05,right,378,76,0.53,2,-9
bp235n02,spikeUnit05,right,232,76,0.58,1,30
bp237n02,spikeUnit15,right,378,48,0.53,2,NaN
bp237n02,spikeUnit15,right,233,48,0.58,1,101
bp237n02,spikeUnit15,right,233,48,0.53,2,NaN
bp237n02,spikeUnit15,right,87,48,0.58,1,NaN
bp237n02,spikeUnit15,right,378,48,0.58,1,NaN
bp238n02,spikeUnit20,right,378,72,0.53,2,25
bp238n02,spikeUnit20,right,232,72,0.58,1,NaN
bp238n02,spikeUnit20,right,232,72,0.53,2,74
bp238n02,spikeUnit20,right,378,72,0.58,1,90
bp238n02,spikeUnit20,right,87,72,0.58,1,NaN
bp240n02,spikeUnit14,left,378,58,0.47,2,NaN
bp240n02,spikeUnit14,left,378,58,0.42,1,NaN
bp240n02,spikeUnit14,left,233,58,0.42,1,NaN
bp240n02,spikeUnit14,left,233,58,0.47,2,NaN
bp240n02,spikeUnit27,left,378,58,0.47,2,NaN
bp240n02,spikeUnit27,left,378,58,0.42,1,NaN
bp240n02,spikeUnit27,left,233,58,0.42,1,NaN
bp240n02,spikeUnit27,left,233,58,0.47,2,NaN
bp240n02,spikeUnit28,right,378,58,0.53,2,322
bp240n02,spikeUnit28,right,233,58,0.58,1,328
bp240n02,spikeUnit28,right,233,58,0.53,2,397
bp240n02,spikeUnit28,right,90,58,0.58,1,399
bp242n02,spikeUnit31,right,232,65,0.58,1,NaN
bp242n02,spikeUnit31,right,378,65,0.53,2,NaN
bp242n02,spikeUnit31,right,90,65,0.58,1,NaN
bp242n02,spikeUnit31,right,232,65,0.53,2,NaN
bp242n02,spikeUnit31,right,378,65,0.58,1,NaN
bp242n02,spikeUnit32,right,232,65,0.58,1,75
bp242n02,spikeUnit32,right,378,65,0.53,2,27
bp242n02,spikeUnit32,right,90,65,0.58,1,139
bp242n02,spikeUnit32,right,232,65,0.53,2,NaN
bp242n02,spikeUnit32,right,378,65,0.58,1,NaN
bp243n02,spikeUnit13,right,233,60,0.58,1,16
bp243n02,spikeUnit13,right,523,60,0.53,2,-39
bp243n02,spikeUnit13,right,379,60,0.53,2,20
bp243n02,spikeUnit13,right,379,60,0.58,1,113
bp243n02,spikeUnit13,right,89,60,0.58,1,201
bp243n02,spikeUnit13,right,233,60,0.53,2,-60
bp243n02,spikeUnit14,right,233,60,0.58,1,14
bp243n02,spikeUnit14,right,523,60,0.53,2,-4
bp243n02,spikeUnit14,right,379,60,0.53,2,-15
bp243n02,spikeUnit14,right,379,60,0.58,1,-27
bp243n02,spikeUnit14,right,89,60,0.58,1,63
bp243n02,spikeUnit14,right,233,60,0.53,2,10
bp243n02,spikeUnit15,right,233,60,0.58,1,69
bp243n02,spikeUnit15,right,523,60,0.53,2,27
bp243n02,spikeUnit15,right,379,60,0.53,2,-12
bp243n02,spikeUnit15,right,379,60,0.58,1,14
bp243n02,spikeUnit15,right,89,60,0.58,1,NaN
bp243n02,spikeUnit15,right,233,60,0.53,2,51
bp243n02,spikeUnit16,right,233,60,0.58,1,NaN
bp243n02,spikeUnit16,right,523,60,0.53,2,NaN
bp243n02,spikeUnit16,right,379,60,0.53,2,64
bp243n02,spikeUnit16,right,379,60,0.58,1,NaN
bp243n02,spikeUnit16,right,89,60,0.58,1,NaN
bp243n02,spikeUnit16,right,233,60,0.53,2,46
bp243n02,spikeUnit25,right,233,60,0.58,1,235
bp243n02,spikeUnit25,right,523,60,0.53,2,40
bp243n02,spikeUnit25,right,379,60,0.53,2,143
bp243n02,spikeUnit25,right,379,60,0.58,1,167
bp243n02,spikeUnit25,right,89,60,0.58,1,NaN
bp243n02,spikeUnit25,right,233,60,0.53,2,70
bp244n02,spikeUnit25,right,233,59,0.58,1,NaN
bp244n02,spikeUnit25,right,378,59,0.53,2,112
bp244n02,spikeUnit25,right,233,59,0.53,2,NaN
bp244n02,spikeUnit25,right,87,59,0.58,1,NaN
bp244n02,spikeUnit25,right,378,59,0.58,1,NaN
bp244n02,spikeUnit26,right,233,59,0.58,1,19
bp244n02,spikeUnit26,right,378,59,0.53,2,17
bp244n02,spikeUnit26,right,233,59,0.53,2,-27
bp244n02,spikeUnit26,right,87,59,0.58,1,220
bp244n02,spikeUnit26,right,378,59,0.58,1,63
bp244n02,spikeUnit27,right,233,59,0.58,1,-59
bp244n02,spikeUnit27,right,378,59,0.53,2,-59
